[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/emmet/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/emmet/package.json'
[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/coffeescript/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/coffeescript/package.json'
[2022-01-29 18:37:35.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/groovy/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/groovy/package.json'
[2022-01-29 18:37:35.123] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/grunt/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/grunt/package.json'
[2022-01-29 18:37:35.123] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/gulp/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/gulp/package.json'
[2022-01-29 18:37:35.123] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/jake/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/jake/package.json'
[2022-01-29 18:37:35.123] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/shellscript/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/shellscript/package.json'
[2022-01-29 18:37:35.123] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/xml/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/xml/package.json'
[2022-01-29 18:37:35.123] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/ini/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/ini/package.json'
[2022-01-29 18:37:35.124] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/python/package.json'
[2022-01-29 18:37:35.124] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/csharp/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/csharp/package.json'
[2022-01-29 18:37:35.124] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/lua/package.json'
[2022-01-29 18:37:35.124] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/fsharp/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/fsharp/package.json'
[2022-01-29 18:37:35.125] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/hlsl/package.json'
[2022-01-29 18:37:35.125] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/merge-conflict/package.json'
[2022-01-29 18:37:35.125] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-basics/package.json'
[2022-01-29 18:37:35.125] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/css-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/css-language-features/package.json'
[2022-01-29 18:37:35.125] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/typescript-language-features/package.json'
[2022-01-29 18:37:38.048] [renderer1] [error] EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/share/codium/resources/app/extensions/python/package.json'
